,b_relevance,link,link ,relevance
29,0,http://www.cs.ucl.ac.uk/students/msc_wsbda/lecturers/,,0
0,1,,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,2
1,1,,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,2
2,1,,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,2
3,1,,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
4,1,,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
5,1,,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
6,1,,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm052_information_retrieval_and_data_mining/,2
7,1,,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
8,1,,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
9,1,,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
10,1,,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,2
11,1,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,2
12,1,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,2
13,1,,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
14,1,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
15,1,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2
16,1,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2017_2018_provisional/undergrad/compm052_information_retrieval_and_data_mining/,2
17,1,,http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
18,1,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
19,1,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/undergrad/m052_information_retrieval_and_data_mining/,2
20,1,,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi15_information_retrieval_data_mining/,2
21,1,,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,2
22,1,,http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi15_information_retrieval_data_mining/,2
23,1,,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi15_information_retrieval_data_mining/,2
24,1,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,2
25,1,,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/mscml/gi15_information_retrieval_data_mining/,2
26,0,,http://www.cs.ucl.ac.uk/people/T.Nugent.html/,0
27,0,,http://www.cs.ucl.ac.uk/people/Tracy.Williams.html/,0
28,0,,http://www.cs.ucl.ac.uk/cs_people/A.Chaudhary.html/,0
29,0,,http://www.cs.ucl.ac.uk/people/J.Kautz.html/,0
2,0,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ds/,,0
4,0,http://www.cs.ucl.ac.uk/wics/news/emine_yilmaz_awarded_the_microsoft_bcs_karen_sparck_jones_award/,,0
5,1,http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_4_meng_math_computation/,,1
6,1,http://www.cs.ucl.ac.uk/current_students/undergrad_inf/curriculum/year_4_meng_math_computation/,,1
7,1,http://www.cs.ucl.ac.uk/?id=3201,,1
8,1,http://www.cs.ucl.ac.uk/mobile/current_students/msc_cgvi/,,1
9,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/ug/,,1
10,1,http://www.cs.ucl.ac.uk/current_students/syllabus/ug/,,1
11,0,http://www.cs.ucl.ac.uk/mobile/archive/2013/browse/2/,,0
12,0,http://www.cs.ucl.ac.uk/mobile/archive/article/best-paper-prize-for-cs-academic/,,0
13,0,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/msccs/gc20_computer_music/,,0
14,0,http://www0.cs.ucl.ac.uk/staff/S.James/,,0
15,0,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm041_web_economics/,,0
16,0,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_cgvi/,,0
17,0,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m055_supervised_learning/,,0
18,0,http://www.cs.ucl.ac.uk/mobile/archive/2014/browse/4/,,0
19,0,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,,0
20,0,http://www.cs.ucl.ac.uk/mobile/archive/2015/,,0
21,0,http://www.cs.ucl.ac.uk/archive/browse/8/,,0
22,0,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/msc_financial_risk_management/g011_data_analytics/,,0
23,0,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msc_financial_risk_management/g011_data_analytics/,,0
24,0,http://www0.cs.ucl.ac.uk/staff/r.harbird/UCLTheBridge/index.html,,0
25,0,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/timetables/induction_week/,,0
26,0,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msc_financial_risk_management/g001_financial_data_and_statistics/,,0
27,0,http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,,0
28,0,http://www.cs.ucl.ac.uk/mobile/archive/article/big-datas-unexplored-frontier-recorded-music/,,0
29,0,http://www.cs.ucl.ac.uk/archive/article/big-datas-unexplored-frontier-recorded-music/,,0
4,0,http://www.cs.ucl.ac.uk/mobile/current_students/msc_cgvi/,,0
6,0,http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_4_meng_math_computation/,,0
7,0,http://www.cs.ucl.ac.uk/current_students/undergrad_inf/curriculum/year_4_meng_math_computation/,,0
8,0,http://www.cs.ucl.ac.uk/?id=3201,,0
21,0,http://www.cs.ucl.ac.uk/cs_people/A.Chaudhary.html/,,0
