,link,relevance,b_relevance
21,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2012_13/,0,0
22,http://www.cs.ucl.ac.uk/current_students/msc_wsbda/lecturers/,1,1
23,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi15_information_retrieval_data_mining/,1,1
24,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,1,1
25,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m041_web_economics/,1,1
26,http://www.cs.ucl.ac.uk/mobile/archive/article/dr-jun-wang-wins-yahoo-prep-award/,2,1
27,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/tutorials/,0,0
28,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,1,1
29,http://www.cs.ucl.ac.uk/news/article/mediagamma-secures-seed-funding-for-automated-digital-ad-futures-options-exchange/,0,0
3,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,0,0
4,http://www.cs.ucl.ac.uk/mobile/students/msc_wsbda/lecturers/,1,1
5,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/tutorials_2010_11/,0,0
6,http://www.cs.ucl.ac.uk/mobile/students/degree_programme/third_year/tutorials/third_year_tutorials_2011_12/,0,0
7,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,0,0
8,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,0,0
9,http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/second_year/tutorials/,0,0
10,http://www.cs.ucl.ac.uk/mobile/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,0,0
11,http://www.cs.ucl.ac.uk/mobile/teaching_learning/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,0,0
12,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/third_year/tutorials/third_year_tutorials_2014_15/,0,0
13,http://www.cs.ucl.ac.uk/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2013_14/,0,0
15,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,1,1
16,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,1,1
17,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm041_web_economics/,1,1
19,http://www.cs.ucl.ac.uk/news/article/ucl-winner-in-credit-suisse-it-challenge/,1,1
20,http://www.cs.ucl.ac.uk/mobile/archive/article/cs-research-student-awarded-google-fellowship/,0,0
21,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/representatives/representatives_for_20142015/,0,0
22,http://www.cs.ucl.ac.uk/mobile/news/article/data-science-used-to-predict-crimes-in-chicago/,0,0
23,http://www.cs.ucl.ac.uk/archive/article/cs-research-student-awarded-google-fellowship/,0,0
24,http://www.cs.ucl.ac.uk/archive/article/ucl-hosts-first-ever-cs50-hackathon-london/,0,0
25,http://www.cs.ucl.ac.uk/news/article/polecat-honoured-for-software-collaboration-with-ucl/,0,0
26,http://www0.cs.ucl.ac.uk/teaching/1styeartutorials.0607.html,0,0
27,http://www.cs.ucl.ac.uk/mobile/current_students/student_information/staff_student_committee/minutes/december_3rd_2014/,0,0
28,http://www.cs.ucl.ac.uk/current_students/student_information/staff_student_committee/minutes/december_3rd_2014/,0,0
29,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/march_12_2015/,0,0
14,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m052_information_retrieval_and_data_mining/,2,1
15,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi15_information_retrieval_data_mining/,2,1
16,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/msc_web_science_and_big_data_analytics/gw02_web_economics/,2,1
17,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm041_web_economics/,2,1
22,http://www.cs.ucl.ac.uk/archive/article/best-paper-prize-for-cs-academic/,0,0
28,http://www.cs.ucl.ac.uk/news/article/ucl-winner-in-credit-suisse-it-challenge/,0,0
