,b_relevance,link,linka,links,relevance
0,1,,http://www.ucl.ac.uk/current-students/money/2014-2015_fees/2014-15_postgrad_research,,2
1,1,,http://www.cs.ucl.ac.uk/mobile/students/assessment_results/transcripts/,,1
2,1,,http://www.cs.ucl.ac.uk/mobile/current_students/assessment_results/transcripts/,,1
3,1,,http://www.cs.ucl.ac.uk/mobile/teaching_learning/assessment_results/transcripts/,,1
4,1,,http://www.cs.ucl.ac.uk/students/assessment_results/transcripts/,,1
5,1,,http://www.cs.ucl.ac.uk/current_students/assessment_results/transcripts/,,1
6,1,,http://www.cs.ucl.ac.uk/teaching_learning/assessment_results/transcripts/,,1
7,0,,http://www.cs.ucl.ac.uk/mobile/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,0
8,0,,http://www.cs.ucl.ac.uk/news/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,0
9,0,,http://www.cs.ucl.ac.uk/mobile/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,0
10,0,,http://www.cs.ucl.ac.uk/archive/article/information-security-degree-certified-as-gchq-cyber-security-standard/,,0
11,0,,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_computer_science_mahidol_university_thailand/,,0
12,0,,http://www.cs.ucl.ac.uk/?id=7334,,0
13,0,,http://www.cs.ucl.ac.uk/current_students/degree_programme/international_programme/,,0
14,1,,http://www.cs.ucl.ac.uk/mobile/degrees/,,1
15,1,,http://www.cs.ucl.ac.uk/degrees/,,1
16,1,,http://www.cs.ucl.ac.uk/admissions/,,2
17,1,,http://www.cs.ucl.ac.uk/mobile/degrees/csexcel/,,1
18,1,,http://www.cs.ucl.ac.uk/mobile/prospective_students/,,1
19,1,,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/,,1
20,1,,http://www.cs.ucl.ac.uk/prospective_students/,,2
21,1,,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/,,1
22,1,,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/,,1
23,0,,http://www0.cs.ucl.ac.uk/staff/A.Sztrajman/,,0
24,1,,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/,,1
25,1,,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/fourth_year/,,1
26,1,,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/,,1
27,1,,http://www.cs.ucl.ac.uk/students/degree_programme/second_year/,,1
28,1,,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/206p_mathematics_and_statistics/,,2
29,1,,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/second_year/,,1
0,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/msc_financial_risk_management/g009_networks_and_systemic_risk/,,,2
1,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,,,2
2,0,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,,,0
3,0,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2013_14/,,,0
4,1,http://www.cs.ucl.ac.uk/current_students/teaching_and_learning/changing_your_degree/,,,1
5,0,http://www.cs.ucl.ac.uk/current_students/student_information/staff_student_committee/minutes/november_26th_2009/,,,0
6,0,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/third_year/tutorials/third_year_tutorials_2012_13/,,,0
7,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/,,,0
8,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/msc_financial_risk_management/g009_networks_and_systemic_risk/,,,2
9,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/tutorials_2009_10/,,,0
10,0,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/tutorials/tutorials_2010_11/,,,0
11,0,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,,,0
12,1,http://www.cs.ucl.ac.uk/mobile/prospective_students/mres_robotics/,,,1
13,0,http://www.cs.ucl.ac.uk/mobile/teaching_learning/student_information/staff_student_committee/minutes/november_29th_2006/,,,0
14,0,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/november_26th_2009/,,,0
15,1,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/engs102p_design_and_professional_skills/,,,2
16,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/undergrad/engs102p_design_and_professional_skills/,,,2
17,0,http://www.cs.ucl.ac.uk/prospective_students/msc_computer_science_mahidol_university_thailand/,,,0
18,1,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m058_bioinformatics/,,,2
19,0,http://www.cs.ucl.ac.uk/news/article/andrea-bittau-1983-2017/,,,0
21,1,http://www.cs.ucl.ac.uk/mobile/teaching_learning/msc_cs/,,,2
22,0,http://www.cs.ucl.ac.uk/prospective_students/phd_programme/careers/,,,0
24,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/undergrad/204p_systems_engineering_project_1/,,,2
25,0,http://www.cs.ucl.ac.uk/mobile/news/article/ucl-receives-google-grant-towards-automated-fact-checking/,,,0
26,0,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/first_year_tutorials_2014_15/,,,0
27,0,http://www.cs.ucl.ac.uk/students/undergraduate_information/assessment/,,,0
28,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/tutorials/first_year_tutorials_2012_13/,,,0
29,1,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_rc/,,,2
4,1,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/206p_mathematics_and_statistics/,,,2
5,1,http://www.ucl.ac.uk/current-students/exams_and_awards,,,1
6,1,http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/assessment/,,,1
7,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/first_year/,,,0
8,0,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/,,,0
9,0,http://www.cs.ucl.ac.uk/students/degree_programme/second_year/,,,0
10,0,http://www.cs.ucl.ac.uk/students/degree_programme/third_year/,,,0
11,0,http://www.ucl.ac.uk/srs/academic-manual/c0/students/start,,,0
12,1,http://www.cs.ucl.ac.uk/current_students/syllabus/msccs/gc26_artificial_intelligence_and_neural_computing/,,,2
13,0,http://www0.cs.ucl.ac.uk/staff/C.Amati/,,,0
14,0,http://www0.cs.ucl.ac.uk/staff/M.Reynolds/,,,0
15,0,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/agendas/november_3rd_2004/,,,0
16,0,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/november_3rd_2004/,,,0
17,0,http://www.cs.ucl.ac.uk/mobile/archive/article/ucl-engineering-quantech-exhibition/,,,0
18,0,http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/minutes/november_3rd_2004/,,,0
19,0,http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/agendas/november_3rd_2004/,,,0
20,0,http://www.cs.ucl.ac.uk/mobile/home/,,,0
21,0,http://www.cs.ucl.ac.uk/students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,,,0
22,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/fourth_year/tutorials/fourth_year_tutorials_2014_15/,,,0
23,0,http://www.cs.ucl.ac.uk/wics/athena_swan/,,,0
24,0,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/first_year/general_information/,,,0
25,1,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/undergrad/engs102p_design_and_professional_skills/,,,2
26,0,http://www.cs.ucl.ac.uk/mobile/students/student_information/staff_student_committee/minutes/november_13th_2002/,,,0
27,0,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/engs102p_design_and_professional_skills/,,,0
28,0,http://www.cs.ucl.ac.uk/teaching_learning/student_information/staff_student_committee/minutes/november_13th_2002/,,,0
29,0,http://www.cs.ucl.ac.uk/students/degree_programme/first_year/tutorials/tutorials_2010_11/,,,0
9,0,http://www.ucl.ac.uk/current-students/exams_and_awards,,,0
12,1,http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/assessment/,,,2
16,0,http://www.cs.ucl.ac.uk/current_students/syllabus/msccs/gc26_artificial_intelligence_and_neural_computing/,,,0
25,0,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/undergrad/engs102p_design_and_professional_skills/,,,0
28,0,http://www.cs.ucl.ac.uk/teaching_learning/degree_programme/third_year/tutorials/third_year_tutorials_2014_15/,,,0
29,0,http://www.cs.ucl.ac.uk/current_students/degree_programme/second_year/tutorials/second_year_tutorials_2013_14/,,,0
14,1,http://www.ucl.ac.uk/srs/academic-manual/c0/students/start,,,1
26,1,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/engs102p_design_and_professional_skills/,,,2
