,link,relevance,b_relevance
26,http://www.cs.ucl.ac.uk/teaching_learning/msc_ds/,1,1
27,http://www.cs.ucl.ac.uk/current_students/msc_ds/,1,1
28,http://www.cs.ucl.ac.uk/students/msc_ml/,1,1
29,http://www.cs.ucl.ac.uk/teaching_learning/msc_ml/,1,1
4,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,0,0
5,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/mscml/gi08_graphical_models/,0,0
6,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,0,0
7,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi08_graphical_models/,0,0
8,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi08_graphical_models/,0,0
9,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/mscml/gi08_graphical_models/,0,0
10,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,0,0
11,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/mscml/gi08_graphical_models/,0,0
12,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,0,0
16,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m056_graphical_models/,0,0
17,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m056_graphical_models/,0,0
18,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m056_graphical_models/,0,0
19,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm056_graphical_models/,0,0
3,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/msccgvi/gv10_computer_graphics/,2,1
4,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m042_complex_networks_and_web/,0,0
5,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m042_complex_networks_and_web/,0,0
6,http://www.cs.ucl.ac.uk/mobile/students/syllabus/undergrad/m076_virtual_environments/,0,0
7,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/msccgvi/gv07_virtual_environments/,0,0
8,http://www.cs.ucl.ac.uk/current_students/syllabus/ug/,1,1
9,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/msccgvi/gv07_virtual_environments/,0,0
11,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/ug/,1,1
12,http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/curriculum/year_3_bsc_cs/,1,1
13,http://www.cs.ucl.ac.uk/mobile/students/undergrad_inf/curriculum/year_3_meng_math_computation/,1,1
14,http://www.cs.ucl.ac.uk/mobile/current_students/undergrad_inf/curriculum/year_3_meng_math_computation/,1,1
15,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m012_programming_mathematical_methods_for_machine_learning/,0,0
16,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2017_2018_provisional/undergrad/compm042_complex_networks_and_web/,0,0
17,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi13_advanced_topics_in_machine_learning/,0,0
18,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi13_advanced_topics_in_machine_learning/,0,0
19,http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_3_meng_cs/,1,1
20,http://www.cs.ucl.ac.uk/mobile/students/msc_cgvi/resources/,0,0
21,http://www.cs.ucl.ac.uk/current_students/syllabus/msccgvi/gv01_mathematical_methods_algorithms_and_implementations/,0,0
22,http://www.cs.ucl.ac.uk/students/syllabus/msccs/gc02_design/,0,0
23,http://www.cs.ucl.ac.uk/teaching_learning/undergrad_inf/curriculum/year_3_meng_math_computation/,1,1
24,http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi16_approximate_inference_and_learning_in_probabilistic_models/,0,0
25,http://www.cs.ucl.ac.uk/students/msc_cgvi/resources/,0,0
26,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_ds/,0,0
27,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/undergrad/m076_virtual_environments/,0,0
28,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi09_applied_machine_learning/,0,0
29,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/msccgvi/gv07_virtual_environments/,0,0
4,http://www.cs.ucl.ac.uk/mobile/prospective_students/msc_cgvi/,0,0
17,http://www.cs.ucl.ac.uk/?id=3201,1,1
24,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m072_mathematical_methods_algorithms_and_implementations/,0,0
25,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m061_people_and_security/,0,0
26,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/mscml/gi16_approximate_inference_and_learning_in_probabilistic_models/,0,0
27,http://www.cs.ucl.ac.uk/students/undergrad_inf/curriculum/year_4_meng_math_computation/,0,0
28,http://www.cs.ucl.ac.uk/current_students/undergrad_inf/curriculum/year_4_meng_math_computation/,0,0
0,http://www0.cs.ucl.ac.uk/teaching/3079/,0,0
1,http://www.cs.ucl.ac.uk/students/syllabus/mscml/gi08_graphical_models/,2,1
2,http://www.cs.ucl.ac.uk/current_students/syllabus/mscml/gi08_graphical_models/,2,1
3,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/mscml/gi08_graphical_models/,2,1
4,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,2,1
5,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/mscml/gi08_graphical_models/,2,1
6,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,2,1
7,http://www.cs.ucl.ac.uk/mobile/students/syllabus/mscml/gi08_graphical_models/,2,1
8,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus/mscml/gi08_graphical_models/,2,1
9,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus/mscml/gi08_graphical_models/,2,1
10,http://www.cs.ucl.ac.uk/mobile/students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,2,1
11,http://www.cs.ucl.ac.uk/mobile/teaching_learning/syllabus_index_2015_2016/mscml/gi08_graphical_models/,2,1
12,http://www.cs.ucl.ac.uk/mobile/current_students/syllabus_index_2015_2016/mscml/gi08_graphical_models/,2,1
13,http://www.cs.ucl.ac.uk/students/syllabus/undergrad/m056_graphical_models/,2,1
14,http://www.cs.ucl.ac.uk/current_students/syllabus/undergrad/m056_graphical_models/,2,1
15,http://www.cs.ucl.ac.uk/teaching_learning/syllabus/undergrad/m056_graphical_models/,2,1
16,http://www.cs.ucl.ac.uk/students/syllabus_index_2015_2016/undergrad/m056_graphical_models/,2,1
17,http://www.cs.ucl.ac.uk/teaching_learning/syllabus_index_2015_2016/undergrad/m056_graphical_models/,2,1
18,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2015_2016/undergrad/m056_graphical_models/,2,1
19,http://www.cs.ucl.ac.uk/current_students/syllabus_index_2017_2018_provisional/undergrad/compm056_graphical_models/,2,1
